Date/Time,Media Description,Media Link
"You uploaded a feed photo on September 29, 2023 at 12:10 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFS1eDmozUcxQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1695989433124?e=2147483647&v=beta&t=yLe7OVL6qwe5yKkvpy3BXaooVzkkEV4vC6fe0D7IoWU
"You uploaded a feed photo on September 29, 2023 at 12:10 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGJkEBAOJx63g/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1695989426856?e=2147483647&v=beta&t=y3q413BR71gLnP0AkMCjw6t-YKngUQ3DO4JJE5WkFlg
"You uploaded a feed photo on September 29, 2023 at 12:10 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEFCmxO0VpylQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1695989433980?e=2147483647&v=beta&t=f6iVR1tFClXNV18zO25PzYnxValELhixslCq-zv5L2k
"You uploaded a feed photo on July 30, 2023 at 10:39 PM (GMT)","? Hey, connections! Exciting Projects Update! ?

I'm thrilled to introduce my two chatbots: 
? Crystal Text (Link: https://lnkd.in/g8wpindX ) and 
?? Crystal Voice (Link: https://lnkd.in/gFfMimM5 ) ?

I created them during an amazing 3-hour Generative AI mega workshop by NxtWave, brilliantly explained by Rahul Attuluri. 

Crystal Text is a Text-to-Text bot, while Crystal Voice is a Text-to-Voice bot, trained with my own voice (though my English is still better than my bot's ?).

During the workshop, I gained valuable insights into various AI tools, including:

? AI Text tools: Rytr. me, jasper, write sonic, copy.ai
? AI Image Tools: DALLE-2, Midjourney, Dream by Wombo, crayon
? AI Video Tools: Runway ML, Pictory, Deepbreain AI
?? AI Speech Tools: PlayHT, Murfai, Fliki
? AI Music Tools: Mubert, Beat Box
? AI Website Tools: Framer
? AI Code generation tools: GitHub Copilot, Seek, Durable

In the process of creating these bots, I utilized some fantastic tools, such as Google Colab, OpenAI APIs, Langchain, Gradio, PlayHT, and Hugging Face. ??

Cons of these bots: They are not Fast enough as i have used all the free resources

Can't wait to see how these bots evolve and contribute to the world of AI! ?? #ai  #chatbots  #generativeai  #linkedinpost  #excitingprojects  #techenthusiast  #openai #huggingface #nxtwave #rahulattuluri #community #reach #consistency #sundaymotivation ",
"You uploaded a feed photo on July 30, 2023 at 10:38 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQH0xLthNciyGg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690756745892?e=2147483647&v=beta&t=08R6vvgnBlDVyImn-Joofg7XFmCXZ0BllEUsmuLFhNw
"You uploaded a feed photo on July 30, 2023 at 10:38 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGne_DpM8ryHg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690756745679?e=2147483647&v=beta&t=1y0ZXXU7naCFBHnMGAlwf75-iYbOO2s9mT-TY8NCRbw
"You uploaded a feed photo on July 29, 2023 at 6:46 PM (GMT)","? Exciting News! ?


Hey buddies! ?? Sometimes, the smallest decisions can lead to life-changing opportunities. ? Two years ago, I took one such decision and joined the amazing UNYC team. ? It's been an incredible journey, and I have never looked back with regret. ?

Started as an Event Coordinator, then to Marketing Public Relations, and Outreach team. ? Now, I'm thrilled to share that I have been promoted to the Executive Board for the position of Vice President for the 2023-24 tenure at UNYC LPU, one of the oldest and most prestigious organizations at LPU. ?


I want to take a moment to congratulate our talented colleagues who have also been promoted to the core team: ?
?? Yogesh Kumar
?? Aman Raj Dubey
?? Rahul Roy
?? Kantheti Venkata Sahil
?? Shaik Mohammed shahabaaz
?? Vishnupriya Sreevalse
?? Riya Devdatta Jadhav
?? Jaswanth Singh Kumar Lankadasu
?? Basil Rahman
?? Arun Kumar Singh
?? Pratanu Sarkar
?? Tanya Tarun
?? Shreyas Sudhish

? Your hard work and dedication are truly commendable! ? I'm looking forward to collaborating with each one of you to achieve even greater heights at UNYC. ?


#teamunyc #promotion  #newopportunities  #linkedinpost  #excitingtimes  #teamwork  #achievements  #community #weareunyc",
"You uploaded a feed photo on July 29, 2023 at 6:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHcSdRCReO-Dg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690656408385?e=2147483647&v=beta&t=yM96tE0aTNLrZP7EQq7j2jMwepoUD0SrNc5eZM5AniE
"You uploaded a feed photo on July 29, 2023 at 6:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHw-ec3sQcfAA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690656408470?e=2147483647&v=beta&t=g03Vkp7QDJorEHBO1MDU51Ha6CzBtiNdb6c011ntrXA
"You uploaded a feed photo on July 29, 2023 at 6:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFx4aUwSzA7Bg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690656408419?e=2147483647&v=beta&t=H_7IfccBA7x9AZPtauFsAFuIcz9uvKT0oi6qH1qEb0U
"You uploaded a feed photo on July 28, 2023 at 8:46 PM (GMT)","Hey everyone! ?

I'm thrilled to share the news that I've secured my passes for the much-anticipated Generative AI 3-hour mega workshop hosted by the visionary CEO of NxtWave, Rahul Attuluri! ? #MyAIAvatar

During this workshop, I'm eager to delve into a wide range of cutting-edge topics and technologies that are shaping the future of AI: ??

Large Language Models: These powerful AI systems utilize deep learning to comprehend and generate human language, opening up a world of possibilities. ??

Gradio: Excitingly, we'll explore how to create AI apps with minimal coding using Gradio, simplifying the development process. ??

Vector Databases: Managing high-dimensional unstructured data and identifying similar vectors with limitless scalability will be a game-changer. ???

Hugging Face: This platform empowers us to build, train, and deploy ML models, providing access to state-of-the-art NLP models. ??

OpenAI APIs: I can't wait to learn how these #apis help developers integrate NLP, text generation, and other language-based functionalities into their applications seamlessly. ??

Google Colab: With no hardware limitations, #google Colab allows us to write, execute, and share code effortlessly, making the development journey smoother. ??

LangChain: This innovative #framework enables the combination of Large Language Models with external computation and data sources. With LangChain, we can build chatbots, answer questions, summarize text, generate code, analyze data, and so much more! ??

I'm sincerely grateful to the #nxtwaveteam and Rahul sir for organizing such an exciting and knowledge-packed session. Looking forward to expanding my horizons in the world of AI and building my very own AI Avatar! ?? #aiworkshop  #techinnovation  #futureofai #nxtwave #openai  

Let's #connect on #linkedin and share our #thoughts on this remarkable #session! See you there! ??",
"You uploaded a feed photo on July 28, 2023 at 8:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQG868Oq85yJxg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690577216802?e=2147483647&v=beta&t=k65VqGsmSDxaG_ybgNikDitsSIg7nLKJ8abC8m6XDyY
"You uploaded a feed photo on July 28, 2023 at 8:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQEXGg7jKrdgIQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690577207836?e=2147483647&v=beta&t=d_rhuHJhpyx1zG04rLAbCBuqtlqimyQNa9w89eEqNqo
"You uploaded a photo on July 28, 2023 at 6:40 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQEpW20YFpOOQg/profile-treasury-image-shrink_8192_8192/profile-treasury-image-shrink_8192_8192/0/1690569611989?e=2147483647&v=beta&t=cGL-d04iB2oTNLrNF7GZQih9KpgFnTy8olTxWPiWg7s
"You uploaded a feed photo on July 28, 2023 at 6:24 PM (GMT)","? Life Update! ?


Dear LinkedIn community,
I am thrilled to share a significant milestone in my journey with all of you! ? After an incredible two-year experience, I have successfully completed another tenure of volunteering at UNYC LPU. ? It has been an enriching and fulfilling journey, and I am immensely grateful for the opportunity to work with exceptional leaders like Ashutosh Mohapatra and Manan Aggarwal who have been instrumental in shaping my path.And it was great to work under the guidance of Sachin Sidhra, PhD sir.

Throughout these two years, I have learned invaluable lessons, developed essential skills, and made lifelong connections with amazing individuals. ?? The guidance and support from my fellow team members have been truly exceptional, and I can't thank them enough for being part of this remarkable experience.
Thank you, buddies, for being a part of my journey! ? #LifeUpdate #VolunteeringExperience #Gratitude #ProfessionalGrowth #LinkedInCommunity",
"You uploaded a feed photo on July 28, 2023 at 6:24 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFvMk4Xf-m8Rg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690568662014?e=2147483647&v=beta&t=-tpR_oUqMsVQPuJdcTNDJZOK-lAcD9iVcY-o3IRNhiM
"You uploaded a feed photo on July 28, 2023 at 6:24 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHuL2P5RNNlYA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1690568660661?e=2147483647&v=beta&t=PAiOofIsVrYhmEBr_TriTCIzilj9p3JnFyM2pwowkls
"You uploaded a feed photo on July 3, 2023 at 5:20 PM (GMT)","Lost my 28-day streak of the #makejunegreen challenge, but you know what? It was all worth it. 


I decided to take a break and spend quality time with my family. Sometimes, stepping away and cherishing moments with our loved ones is just as valuable as any personal achievement.


#familytime #balance  #selfcare #quality #nxtwave #nxtwaveccbp #rahulattuluri #rahulattulurisir #consistency #nxtwaveteam #nxtwavestreak #worklifebalance  #familyfirst #QualityTime #PrioritizingFamily  #cherishmoments  #lovedones  #PersonalWellbeing #MakingMemories #FindingBalance #SelfCareMatters",
"You uploaded a feed photo on July 3, 2023 at 5:20 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHM_36lJm9KBg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1688404848517?e=2147483647&v=beta&t=M10_9AddUapXnVfPPhOCzf_P7vo-ITRmxQxSmzDG4EE
"You uploaded a feed photo on July 3, 2023 at 5:20 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFV0v-DSCmN6w/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1688404847688?e=2147483647&v=beta&t=rs6ONAZA7utInmnjsnPs7rEMCoAamrSPamzCeG4aMBw
"You uploaded a feed photo on June 12, 2023 at 11:29 PM (GMT)","It has Been 13 Days!!
.
.
Since I started #makejunegreen and have Been Coding for at least 1 hour a day!

Hey Buddies!!
It has been a long time since I've been here!
This Time, I've taken the #makejunegreen challenge and also will keep Making it green!!
Wondering What I am Talking about?... Take a look at the attached pic?
Will update you with my challenge after This month!!
ThankYou!!
.
.
.
.
#coding #javascript #bootstrap5 #css #makejunegreen #frontenddeveloper #nxtwaveccbp #nxtwaveteam NxtWave #thankyou #connections #skillsdevelopment ",https://media.licdn.com/dms/image/v2/D4D22AQGW_ETV6_Omdw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1686612550547?e=2147483647&v=beta&t=HMMv0xRpgJ6DQh1Z_VFsxyVv9FFvVEF7ON-dOgskEkc
"You uploaded a photo on March 3, 2023 at 9:33 PM (GMT)", -,https://media.licdn.com/dms/image/v2/C562DAQFFoiZUNUcRUg/profile-treasury-image-shrink_8192_8192/profile-treasury-image-shrink_8192_8192/0/1677879214629?e=2147483647&v=beta&t=C86_GUTzhR3_PTYO4C9kt1nLByk_C7YxCUhq2o5Y-Sk
"You uploaded a feed photo on March 3, 2023 at 9:29 PM (GMT)","It has been long time I received..

This certificate from NxtWave for completion of AI Art Mini Project using prompt engineering. It was a great experience in studying and experiencing an AI model that might be on google collab or on another platform.

I would like to thank #teamNxtWave and Rahul Attuluri sir for organiazing this amaizing project.
.
.
.
#nxtwave #aiart #miniproject #project #consistency #ai #ml #promptengineering #rahulattuluri ",https://media.licdn.com/dms/image/v2/C5622AQGz4-bKfrmCnQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1677878954454?e=2147483647&v=beta&t=mPqp42P9LRvPint-X9pr5qZ8CTvBdHeGvHXMr3B7OaY
"You uploaded a photo on February 12, 2023 at 4:05 PM (GMT)", -,https://media.licdn.com/dms/image/v2/C4D2DAQGmJPwnASfq4Q/profile-treasury-image-shrink_8192_8192/profile-treasury-image-shrink_8192_8192/0/1676217933021?e=2147483647&v=beta&t=qtt-H2r1G00upSPyAcICJFWQVN1RROzkMflmmnx80HA
"You uploaded a feed photo on February 12, 2023 at 4:03 PM (GMT)","Hello Connections!!

I know I have failed to be consistent on 30daysofcode challenge because of various things I was working on, One of those is preparing for GSOC.

I belive that a smart person should know which works to be prioritized and I would sincerely thank NxtWave for making me prepared for GSOC challenge

It has been 6 WEEKS since I started preparing for this and i have actually learned various things during this journey

Here is a token of appreciation which I have received from NxtWave

I would like to thank #nxtwaveteam for making these sessions available
.
.
.
.
#nxtwave #gsoc #linux #git #connections #consistency 
#like ",https://media.licdn.com/dms/image/v2/C4D22AQHMoW_auV3qNg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1676217837691?e=2147483647&v=beta&t=K3dn5QK81JOFOLTQRcQtRyioydvnrRKhwPZX-4vkxnU
"You uploaded a feed photo on January 29, 2023 at 6:01 PM (GMT)","Hello, Connections!!

Today I have solved ?Alexa and Strings problem using #python
#Day14 of #30daysofcode
#community #coding #programming Everyday Coders #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #connections ",https://media.licdn.com/dms/image/v2/C4D22AQHuInfhUs_jpw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1675015263840?e=2147483647&v=beta&t=0Zr6PZsbdUriDhCYVt4VPuJCwXc_Y8NDxIL-DWZ2ZiU
"You uploaded a feed photo on January 28, 2023 at 8:43 PM (GMT)","Hello connections!!

Today I have solved MEX problem using #python
#Day13 of #30daysofcode
#community #coding #programming Everyday Coders #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #connections ",https://media.licdn.com/dms/image/v2/C4D22AQFKpvaFzXDA7w/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674938595381?e=2147483647&v=beta&t=M7_GfQyzkjyh4zc3Db8F_27SvfiBTha7O2zFilLiAn0
"You uploaded a feed photo on January 27, 2023 at 6:17 PM (GMT)","Hello, Connections!!

Today I have solved Play with 0's and 2's problem using #python
#Day12 of #30daysofcode


#community #coding #programming Everyday Coders #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #connections ",https://media.licdn.com/dms/image/v2/C4D22AQHvDYIwnwXAlQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674843430810?e=2147483647&v=beta&t=3TVxoiUC2p243fS4yG6zyg5lEBkvj2xQo8AlrhYBIto
"You uploaded a feed photo on January 26, 2023 at 6:05 PM (GMT)","Hello,connections

Today I have solved Unlucky Seven problem using?#python

#Day11?of?#30daysofcode
#community?#coding?#programming?Everyday Coders?#connections?#competitiveprogramming?#codingchallenge?#dsa?#bubbleupcommunity",https://media.licdn.com/dms/image/v2/C4D22AQEraoyxTzhlqg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674756320567?e=2147483647&v=beta&t=NRnCbJgUfUAJw-uyDoNrNFHNqrO_KZp2GDFwXlxwRHU
"You uploaded a feed photo on January 25, 2023 at 6:38 PM (GMT)","Hello Connections!!

Today I have solved Day - Bacterias problem using #python
#Day10 of #30daysofcode
#community #coding #programming Everyday Coders #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity",https://media.licdn.com/dms/image/v2/C4D22AQEmDzJc9Lq4XQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674671887988?e=2147483647&v=beta&t=XTbNsB7cmGMDMMD-L158cgLadY3jMPtxe-poYS7mnyY
"You uploaded a feed photo on January 24, 2023 at 3:20 PM (GMT)","Hello Connections!!

Today I have solved Bob and Hammer problem using #python
#Day9 of #30daysofcode Everyday Coders
#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #codedu #connections ",https://media.licdn.com/dms/image/v2/C4D22AQFFOBj5IYVeGQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674573637623?e=2147483647&v=beta&t=eahpbxASPEaLipGmYQoNwD85C6-vWLZunepfli5HchA
"You uploaded a feed document on January 23, 2023 at 1:57 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/C4D1FAQFvwKBmRErV4A/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1674482223177?e=2147483647&v=beta&t=t_IzaV7AYIzP9Dr0Z5IAQYbd6fJFQb0yHYEsJPxrBBE
"You uploaded a feed photo on January 23, 2023 at 1:01 PM (GMT)","Hello, Connections 

Today I have solved?Contiguous Substring problem using #python
solution was easy ?
#Day8 of #30daysofcode
#community #coding #programming Everyday Coders #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #connections ",https://media.licdn.com/dms/image/v2/C4D22AQFaaEQzk7gFFw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674478891537?e=2147483647&v=beta&t=8RcQh16lr0cthuMr1QhRht2PIB5hn_Vp778cYKsGqmg
"You uploaded a feed photo on January 22, 2023 at 6:19 PM (GMT)","Hello Connections!!

Today I have solved Matching String probloem using #python 
#Day7 of #30daysofcode Everyday Coders
#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #codedu #connections ",https://media.licdn.com/dms/image/v2/C4D22AQE1CDTltqUfnw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674411589720?e=2147483647&v=beta&t=-iADnA0ktMey_YeytvP58wEtZMQN3L9FhBVo9cDEW54
"You uploaded a feed photo on January 21, 2023 at 12:24 PM (GMT)","Hello, Connections!!

Today I have solved Abhas and Numbers problems using #python
#Day6 of #30daysofcode Everyday Coders

#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #codedu",https://media.licdn.com/dms/image/v2/C4D22AQHQlK3nA1LvkA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674303899787?e=2147483647&v=beta&t=3aMuO7v3aErGdUJauHiw68HJbpernTcuWCMK8btAvkU
"You uploaded a feed photo on January 20, 2023 at 2:03 PM (GMT)","Hello, Connections!!!

Today I have solved Emily and Triplets problem using #python 
#Day5 of #30daysofcode Everyday Coders
#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #codedu #connections ",https://media.licdn.com/dms/image/v2/C4D22AQGBbXd7uIGX-A/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674223419180?e=2147483647&v=beta&t=xCHWjMFdkgjV1LYPDCqZBhhOAgUryp9pxoaKPn33Gpo
"You uploaded a feed photo on January 19, 2023 at 1:13 PM (GMT)","Hello, Connections!!

Today I have solved Day - Even Numbers - 2 problem using #python
#Day4 of #30daysofcode Everyday Coders #connections #connections 
#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity",https://media.licdn.com/dms/image/v2/C4D22AQFrjmgz4zcNAQ/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674133985034?e=2147483647&v=beta&t=yvytrYdKpV1yylH4uKsaMIjPnqnETRpjF2duu0bEmVI
"You uploaded a feed photo on January 18, 2023 at 12:56 PM (GMT)","Hello Connections!!

Today I have solved Edward and Maths Competition problem using #python #connections 
#Day3 of #30daysofcode Everyday Coders
#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity",https://media.licdn.com/dms/image/v2/C4D22AQH3tXGPt2yOAg/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1674046571286?e=2147483647&v=beta&t=JWpwupV2oXZhuDt9H1Tn2A6HY5g7IvdXqBAmCoAkMPI
"You uploaded a feed photo on January 17, 2023 at 1:23 PM (GMT)","Hello connections!!

Today I have solved the Friends Or Not problem using #python

#Day2 of #30daysofcode Everyday Coders #connections 
#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity",https://media.licdn.com/dms/image/v2/C4D22AQF_Nkrq3Afp4Q/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1673961797215?e=2147483647&v=beta&t=uRIdmqzFQQobfdVZdYZlR2G-lbQdOVYFq16liKXvHmY
"You uploaded a feed photo on January 16, 2023 at 2:40 PM (GMT)","Hello, Connections.

Today I have solved Mall and Coupons Question in #Python

#Day1 of #30daysofcode Everyday Coders
#community #coding #programming #competitiveprogramming #codingchallenge #dsa #bubbleupcommunity #pyhton #connections ",https://media.licdn.com/dms/image/v2/C4D22AQHX3PX_HUAFAw/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1673880022507?e=2147483647&v=beta&t=wJ4ND7k3DcvYUMBQRU6yYydPw73E_OjO2DhR2KMMErw
